"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-03","Canada","2016A000011124","Population","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062818","1.1.2.1.1.1","15081.8","","","","1"
"2019-03","Canada","2016A000011124","Population","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062827","1.1.3.1.1.1","15460.6","","","","1"
"2019-03","Canada","2016A000011124","Labour force","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062819","1.2.2.1.1.1","10643.8","","","","1"
"2019-03","Canada","2016A000011124","Labour force","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062828","1.2.3.1.1.1","9527.8","","","","1"
"2019-03","Canada","2016A000011124","Employment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062820","1.3.2.1.1.1","9980.8","","","","1"
"2019-03","Canada","2016A000011124","Employment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062829","1.3.3.1.1.1","9008.8","","","","1"
"2019-03","Canada","2016A000011124","Full-time employment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062821","1.4.2.1.1.1","8701.4","","","","1"
"2019-03","Canada","2016A000011124","Full-time employment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062830","1.4.3.1.1.1","6682.5","","","","1"
"2019-03","Canada","2016A000011124","Part-time employment ","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062822","1.5.2.1.1.1","1279.5","","","","1"
"2019-03","Canada","2016A000011124","Part-time employment ","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062831","1.5.3.1.1.1","2326.2","","","","1"
"2019-03","Canada","2016A000011124","Unemployment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062823","1.6.2.1.1.1","663.0","","","","1"
"2019-03","Canada","2016A000011124","Unemployment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062832","1.6.3.1.1.1","519.0","","","","1"
"2019-03","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062824","1.7.2.1.1.1","6.2","","","","1"
"2019-03","Canada","2016A000011124","Unemployment rate","Females","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062833","1.7.3.1.1.1","5.4","","","","1"
"2019-03","Canada","2016A000011124","Participation rate","Males","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062825","1.8.2.1.1.1","70.6","","","","1"
"2019-03","Canada","2016A000011124","Participation rate","Females","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062834","1.8.3.1.1.1","61.6","","","","1"
"2019-03","Canada","2016A000011124","Employment rate","Males","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062826","1.9.2.1.1.1","66.2","","","","1"
"2019-03","Canada","2016A000011124","Employment rate","Females","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062835","1.9.3.1.1.1","58.3","","","","1"
