"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-03","Canada","2016A000011124","Population","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062818","1.1.2.1.1.1","15920.3","","","","1"
"2023-03","Canada","2016A000011124","Population","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062827","1.1.3.1.1.1","16290.9","","","","1"
"2023-03","Canada","2016A000011124","Labour force","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062819","1.2.2.1.1.1","11070.8","","","","1"
"2023-03","Canada","2016A000011124","Labour force","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062828","1.2.3.1.1.1","10070.9","","","","1"
"2023-03","Canada","2016A000011124","Employment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062820","1.3.2.1.1.1","10497.9","","","","1"
"2023-03","Canada","2016A000011124","Employment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062829","1.3.3.1.1.1","9590.9","","","","1"
"2023-03","Canada","2016A000011124","Full-time employment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062821","1.4.2.1.1.1","9179.5","","","","1"
"2023-03","Canada","2016A000011124","Full-time employment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062830","1.4.3.1.1.1","7307.4","","","","1"
"2023-03","Canada","2016A000011124","Part-time employment ","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062822","1.5.2.1.1.1","1318.4","","","","1"
"2023-03","Canada","2016A000011124","Part-time employment ","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062831","1.5.3.1.1.1","2283.5","","","","1"
"2023-03","Canada","2016A000011124","Unemployment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062823","1.6.2.1.1.1","572.9","","","","1"
"2023-03","Canada","2016A000011124","Unemployment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062832","1.6.3.1.1.1","480.0","","","","1"
"2023-03","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062824","1.7.2.1.1.1","5.2","","","","1"
"2023-03","Canada","2016A000011124","Unemployment rate","Females","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062833","1.7.3.1.1.1","4.8","","","","1"
"2023-03","Canada","2016A000011124","Participation rate","Males","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062825","1.8.2.1.1.1","69.5","","","","1"
"2023-03","Canada","2016A000011124","Participation rate","Females","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062834","1.8.3.1.1.1","61.8","","","","1"
"2023-03","Canada","2016A000011124","Employment rate","Males","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062826","1.9.2.1.1.1","65.9","","","","1"
"2023-03","Canada","2016A000011124","Employment rate","Females","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062835","1.9.3.1.1.1","58.9","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Population","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063007","2.1.2.1.1.1","222.3","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Population","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063016","2.1.3.1.1.1","230.7","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Labour force","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063008","2.2.2.1.1.1","135.5","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Labour force","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063017","2.2.3.1.1.1","129.4","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Employment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063009","2.3.2.1.1.1","119.2","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Employment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063018","2.3.3.1.1.1","118.6","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Full-time employment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063010","2.4.2.1.1.1","106.7","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Full-time employment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063019","2.4.3.1.1.1","95.5","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Part-time employment ","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063011","2.5.2.1.1.1","12.5","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Part-time employment ","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063020","2.5.3.1.1.1","23.0","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Unemployment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063012","2.6.2.1.1.1","16.3","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Unemployment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063021","2.6.3.1.1.1","10.9","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Unemployment rate","Males","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063013","2.7.2.1.1.1","12.0","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Unemployment rate","Females","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063022","2.7.3.1.1.1","8.4","","","","1"
"2023-03","Newfoundland and Labrador","2016A000210","Participation rate","Males","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2063014","2.8.2.1.1.1","61.0","","","","1"
